Unlimited Data Plan,Account Length (in months),Intl Active,Intl Plan,State,Gender,Age,Under 30,Senior,Group,Demographics,Contract Type,Payment Method,Churn Category,Churn Reason,Total Customers,Churned Customers,Avg Monthly Charges,Avg Customer Service Calls,Avg Extra International Charges,Avg Extra Data Charges,Avg Monthly GB Download,Grouped Comsumtion
No,1,No,no,AK,Female,23,Yes,No,,Under 30,,,,,1,,13,0,0,0,0,Less than 5 GB
No,1,No,no,AK,Female,41,No,No,,Other,,,,,1,1,7,0,0,0,0,Less than 5 GB
No,1,No,no,AK,Male,23,Yes,No,,Under 30,,,,,1,,10,0,0,0,0,Less than 5 GB
No,1,No,no,AL,Male,45,No,No,,Other,,,,,1,,6,0,0,0,0,Less than 5 GB
No,1,No,no,AL,Male,59,No,No,,Other,,,,,1,,13,0,0,0,0,Less than 5 GB
No,1,No,no,AR,Male,22,Yes,No,,Under 30,,,,,1,,9,0,0,0,0,Less than 5 GB
No,1,No,no,AZ,Female,20,Yes,No,,Under 30,,,,,1,,24,0,0,5,10,Between 5 and 10 GB
No,1,No,no,AZ,Female,39,No,No,,Other,,,,,1,,15,2,0,5,4,Less than 5 GB
No,1,No,no,AZ,Male,32,No,No,,Other,,,,,1,1,11,0,0,0,0,Less than 5 GB
No,1,No,no,AZ,Male,34,No,No,,Other,,,,,1,,11,0,0,0,0,Less than 5 GB
No,1,No,no,AZ,Male,57,No,No,,Other,,,,,1,,7,0,0,0,0,Less than 5 GB
No,1,No,no,CO,Male,28,Yes,No,,Under 30,,,,,1,1,10,2,0,0,0,Less than 5 GB
No,1,No,no,CO,Male,49,No,No,,Other,,,,,1,,36,1,0,6,5,Between 5 and 10 GB
No,1,No,no,CO,Male,54,No,No,,Other,,,,,1,,12,0,0,0,0,Less than 5 GB
No,1,No,no,CT,Female,25,Yes,No,,Under 30,,,,,1,1,26,0,6.3,6,16,10 o more GB
No,1,No,no,CT,Female,39,No,No,,Other,,,,,1,,13,0,0,0,0,Less than 5 GB
No,1,No,no,CT,Female,65,No,Yes,Yes,Senior,Month-to-Month,Credit Card,(blank),(blank),1,,8,0,0,0,0,Less than 5 GB
No,1,No,no,CT,Male,26,Yes,No,,Under 30,,,,,1,,10,0,0,0,0,Less than 5 GB
No,1,No,no,CT,Male,41,No,No,,Other,,,,,1,1,34,2,0,0,6,Between 5 and 10 GB
No,1,No,no,DC,Female,19,Yes,No,,Under 30,,,,,1,1,39,1,0,9,20,10 o more GB
No,1,No,no,DC,Female,27,Yes,No,,Under 30,,,,,1,,22,2,0,4,26,10 o more GB
No,1,No,no,DC,Female,45,No,No,,Other,,,,,1,,12,0,0,0,0,Less than 5 GB
No,1,No,no,DC,Male,29,Yes,No,,Under 30,,,,,1,,9,0,0,0,0,Less than 5 GB
No,1,No,no,DE,Female,21,Yes,No,,Under 30,,,,,1,,13,0,0,0,0,Less than 5 GB
No,1,No,no,DE,Male,31,No,No,,Other,,,,,1,,7,0,0,0,0,Less than 5 GB
No,1,No,no,FL,Female,62,No,No,,Other,,,,,1,1,20,0,0,6,3,Less than 5 GB
No,1,No,no,FL,Male,75,No,Yes,No,Senior,Month-to-Month,Direct Debit,Other,Moved,1,1,15,0,0,11,2,Less than 5 GB
No,1,No,no,HI,Female,63,No,No,,Other,,,,,1,,10,0,0,0,0,Less than 5 GB
No,1,No,no,HI,Male,61,No,No,,Other,,,,,1,,43,0,0,6,14,10 o more GB
No,1,No,no,IA,Male,19,Yes,No,,Under 30,,,,,1,,12,0,0,0,0,Less than 5 GB
No,1,No,no,ID,Female,48,No,No,,Other,,,,,1,1,11,1,0,0,0,Less than 5 GB
No,1,No,no,ID,Female,56,No,No,,Other,,,,,1,,9,0,0,0,0,Less than 5 GB
No,1,No,no,ID,Male,22,Yes,No,,Under 30,,,,,1,,10,0,0,0,0,Less than 5 GB
No,1,No,no,ID,Male,53,No,No,,Other,,,,,1,,37,0,0,28,4,Less than 5 GB
No,1,No,no,ID,Male,54,No,No,,Other,,,,,1,1,8,2,0,0,0,Less than 5 GB
No,1,No,no,IL,Female,52,No,No,,Other,,,,,1,,12,0,0,0,0,Less than 5 GB
No,1,No,no,IL,Male,49,No,No,,Other,,,,,1,,10,0,0,0,0,Less than 5 GB
No,1,No,no,IN,Female,29,Yes,No,,Under 30,,,,,1,,13,0,0,0,0,Less than 5 GB
No,1,No,no,IN,Female,47,No,No,,Other,,,,,1,,7,0,0,0,0,Less than 5 GB
No,1,No,no,IN,Male,22,Yes,No,,Under 30,,,,,1,1,9,1,0,4,10,Between 5 and 10 GB
No,1,No,no,IN,Male,47,No,No,,Other,,,,,1,,12,0,0,0,0,Less than 5 GB
No,1,No,no,KS,Female,27,Yes,No,,Under 30,,,,,1,,13,0,0,0,0,Less than 5 GB
No,1,No,no,KS,Female,56,No,No,,Other,,,,,1,1,9,3,0,0,0,Less than 5 GB
No,1,No,no,KY,Male,45,No,No,,Other,,,,,1,1,11,3,0,0,0,Less than 5 GB
No,1,No,no,KY,Male,67,No,Yes,No,Senior,Month-to-Month,Credit Card,Price,Long distance charges,1,1,13,5,0,0,0,Less than 5 GB
No,1,No,no,LA,Male,45,No,No,,Other,,,,,1,1,6,5,0,0,0,Less than 5 GB
No,1,No,no,MA,Female,29,Yes,No,,Under 30,,,,,1,,6,0,0,0,0,Less than 5 GB
No,1,No,no,MA,Female,41,No,No,,Other,,,,,1,,7,0,0,0,0,Less than 5 GB
No,1,No,no,MD,Female,34,No,No,,Other,,,,,1,,12,0,0,0,0,Less than 5 GB
No,1,No,no,MD,Female,66,No,Yes,No,Senior,Two Year,Direct Debit,(blank),(blank),1,,34,0,0,4,1,Less than 5 GB
No,1,No,no,MD,Male,34,No,No,,Other,,,,,1,1,9,2,0,0,0,Less than 5 GB
No,1,No,no,MD,Male,58,No,No,,Other,,,,,1,1,23,0,0,25,2,Less than 5 GB
No,1,No,no,ME,Female,66,No,Yes,Yes,Senior,Two Year,Credit Card,(blank),(blank),1,,6,0,0,0,0,Less than 5 GB
No,1,No,no,ME,Male,34,No,No,,Other,,,,,1,,14,1,0,0,0,Less than 5 GB
No,1,No,no,ME,Male,66,No,Yes,No,Senior,Month-to-Month,Direct Debit,(blank),(blank),1,,11,0,0,0,0,Less than 5 GB
No,1,No,no,MI,Female,32,No,No,,Other,,,,,1,,37,0,0,26,12,10 o more GB
No,1,No,no,MI,Male,48,No,No,,Other,,,,,1,,8,0,0,0,0,Less than 5 GB
No,1,No,no,MI,Male,82,No,Yes,No,Senior,Month-to-Month,Direct Debit,Competitor,Competitor made better offer,1,1,58,4,0,6,4,Less than 5 GB
No,1,No,no,MN,Female,25,Yes,No,,Under 30,,,,,1,1,11,1,0,0,0,Less than 5 GB
No,1,No,no,MN,Female,37,No,No,,Other,,,,,1,,11,0,0,0,0,Less than 5 GB
No,1,No,no,MN,Female,46,No,No,,Other,,,,,1,1,28,4,0,0,7,Between 5 and 10 GB
No,1,No,no,MN,Male,33,No,No,,Other,,,,,1,,8,0,0,0,0,Less than 5 GB
No,1,No,no,MS,Male,35,No,No,,Other,,,,,1,,10,0,0,0,0,Less than 5 GB
No,1,No,no,MS,Male,44,No,No,,Other,,,,,1,1,11,3,0,0,0,Less than 5 GB
No,1,No,no,MT,Male,58,No,No,,Other,,,,,1,,13,0,0,0,0,Less than 5 GB
No,1,No,no,NC,Female,29,Yes,No,,Under 30,,,,,1,,10,1,0,0,0,Less than 5 GB
No,1,No,no,NC,Female,50,No,No,,Other,,,,,1,,12,0,0,0,0,Less than 5 GB
No,1,No,no,NC,Female,53,No,No,,Other,,,,,1,,13,0,0,0,0,Less than 5 GB
No,1,No,no,NC,Female,63,No,No,,Other,,,,,1,,10,0,0,0,0,Less than 5 GB
No,1,No,no,ND,Female,34,No,No,,Other,,,,,1,1,14,2,0,0,0,Less than 5 GB
No,1,No,no,NE,Female,70,No,Yes,No,Senior,Two Year,Credit Card,(blank),(blank),1,,33,0,0,12,14,10 o more GB
No,1,No,no,NE,Male,52,No,No,,Other,,,,,1,,25,1,0,6,14,10 o more GB
No,1,No,no,NE,Male,60,No,No,,Other,,,,,1,1,11,5,0,0,0,Less than 5 GB
No,1,No,no,NH,Female,64,No,No,,Other,,,,,1,,13,0,0,0,0,Less than 5 GB
No,1,No,no,NH,Male,65,No,Yes,No,Senior,Month-to-Month,Credit Card,Dissatisfaction,Service dissatisfaction,1,1,7,5,0,0,0,Less than 5 GB
No,1,No,no,NJ,Male,42,No,No,,Other,,,,,1,1,11,2,0,0,0,Less than 5 GB
No,1,No,no,NJ,Male,53,No,No,,Other,,,,,1,1,12,0,0,0,0,Less than 5 GB
No,1,No,no,NM,Male,37,No,No,,Other,,,,,1,,7,0,0,0,0,Less than 5 GB
No,1,No,no,NM,Male,55,No,No,,Other,,,,,1,,10,0,0,0,0,Less than 5 GB
No,1,No,no,NV,Female,41,No,No,,Other,,,,,1,,9,0,0,0,0,Less than 5 GB
No,1,No,no,NV,Female,58,No,No,,Other,,,,,1,1,10,3,0,0,0,Less than 5 GB
No,1,No,no,NV,Female,61,No,No,,Other,,,,,1,,12,0,0,0,0,Less than 5 GB
No,1,No,no,NV,Female,78,No,Yes,No,Senior,Month-to-Month,Direct Debit,Competitor,Competitor made better offer,1,1,37,3,0,3,5,Between 5 and 10 GB
No,1,No,no,NV,Male,23,Yes,No,,Under 30,,,,,1,,7,0,0,0,0,Less than 5 GB
No,1,No,no,NY,Female,30,No,No,,Other,,,,,1,,9,3,0,0,0,Less than 5 GB
No,1,No,no,NY,Female,54,No,No,,Other,,,,,1,,20,2,0,18,4,Less than 5 GB
No,1,No,no,OH,Female,33,No,No,,Other,,,,,1,1,11,3,0,0,0,Less than 5 GB
No,1,No,no,OH,Male,25,Yes,No,,Under 30,,,,,1,,11,0,0,0,0,Less than 5 GB
No,1,No,no,OK,Female,48,No,No,,Other,,,,,1,1,8,1,17.4,0,0,Less than 5 GB
No,1,No,no,OK,Male,38,No,No,,Other,,,,,1,,12,0,0,0,0,Less than 5 GB
No,1,No,no,OR,Female,28,Yes,No,,Under 30,,,,,1,,13,3,0,0,0,Less than 5 GB
No,1,No,no,OR,Female,44,No,No,,Other,,,,,1,,7,2,0,0,0,Less than 5 GB
No,1,No,no,OR,Male,27,Yes,No,,Under 30,,,,,2,1,8.5,1.5,0,0,0,Less than 5 GB
No,1,No,no,OR,Male,36,No,No,,Other,,,,,1,,9,0,0,0,0,Less than 5 GB
No,1,No,no,PA,Female,32,No,No,,Other,,,,,1,1,6,2,0,0,0,Less than 5 GB
No,1,No,no,PA,Male,34,No,No,,Other,,,,,1,,13,0,0,0,0,Less than 5 GB
No,1,No,no,RI,Male,27,Yes,No,,Under 30,,,,,1,,6,0,0,0,0,Less than 5 GB
No,1,No,no,RI,Male,29,Yes,No,,Under 30,,,,,1,,11,0,0,0,0,Less than 5 GB
No,1,No,no,SC,Female,58,No,No,,Other,,,,,1,,12,0,0,24,2,Less than 5 GB
No,1,No,no,SC,Male,32,No,No,,Other,,,,,1,,12,0,0,0,0,Less than 5 GB
